h,hunger,durst,energie,stimmung,gesundheit,status
0.0,99.6,99.2,100.0,100.0,100.0,lebendig
0.17,99.2,98.3,100.0,100.0,100.0,lebendig
0.33,98.7,97.5,100.0,100.0,100.0,lebendig
0.5,98.3,96.7,100.0,100.0,100.0,lebendig
0.67,97.9,95.8,100.0,100.0,100.0,lebendig
0.83,97.5,95.0,100.0,100.0,100.0,lebendig
1.0,97.1,94.2,100.0,100.0,100.0,lebendig
1.17,96.7,93.3,100.0,100.0,100.0,lebendig
1.33,96.2,92.5,100.0,100.0,100.0,lebendig
1.5,95.8,91.7,100.0,100.0,100.0,lebendig
1.67,95.4,90.8,100.0,100.0,100.0,lebendig
1.83,95.0,90.0,100.0,100.0,100.0,lebendig
2.0,94.6,89.2,100.0,100.0,100.0,lebendig
2.17,94.2,88.3,100.0,100.0,100.0,lebendig
2.33,93.7,87.5,100.0,100.0,100.0,lebendig
2.5,93.3,86.7,100.0,100.0,100.0,lebendig
2.67,92.9,85.8,100.0,100.0,100.0,lebendig
2.83,92.5,85.0,100.0,100.0,100.0,lebendig
3.0,92.1,84.2,100.0,100.0,100.0,lebendig
3.17,91.7,83.3,100.0,100.0,100.0,lebendig
3.33,91.2,82.5,100.0,100.0,100.0,lebendig
3.5,90.8,81.7,100.0,100.0,100.0,lebendig
3.67,90.4,80.8,100.0,100.0,100.0,lebendig
3.83,90.0,80.0,100.0,100.0,100.0,lebendig
4.0,89.6,79.2,100.0,100.0,100.0,lebendig
4.17,89.2,78.3,100.0,100.0,100.0,lebendig
4.33,88.7,77.5,100.0,100.0,100.0,lebendig
4.5,88.3,76.7,100.0,100.0,100.0,lebendig
4.67,87.9,75.8,100.0,100.0,100.0,lebendig
4.83,87.5,75.0,100.0,100.0,100.0,lebendig
5.0,87.1,74.2,100.0,100.0,100.0,lebendig
5.17,86.7,73.3,100.0,100.0,100.0,lebendig
5.33,86.2,72.5,100.0,100.0,100.0,lebendig
5.5,85.8,71.7,100.0,100.0,100.0,lebendig
5.67,85.4,70.8,100.0,100.0,100.0,lebendig
5.83,85.0,70.0,100.0,100.0,100.0,lebendig
6.0,84.6,69.2,100.0,100.0,100.0,lebendig
6.17,84.2,68.3,100.0,100.0,100.0,lebendig
6.33,83.7,67.5,100.0,100.0,100.0,lebendig
6.5,83.3,66.7,100.0,100.0,100.0,lebendig
6.67,82.9,65.8,100.0,100.0,100.0,lebendig
6.83,82.5,65.0,100.0,100.0,100.0,lebendig
7.0,82.1,64.2,100.0,100.0,100.0,lebendig
7.17,81.7,63.3,100.0,100.0,100.0,lebendig
7.33,81.2,62.5,100.0,100.0,100.0,lebendig
7.5,80.8,61.7,100.0,100.0,100.0,lebendig
7.67,80.4,60.8,100.0,100.0,100.0,lebendig
7.83,80.0,60.0,100.0,100.0,100.0,lebendig
8.0,79.6,59.2,100.0,100.0,100.0,lebendig
8.17,79.2,58.3,100.0,100.0,100.0,lebendig
8.33,78.7,57.5,100.0,100.0,100.0,lebendig
8.5,78.3,56.7,100.0,100.0,100.0,lebendig
8.67,77.9,55.8,100.0,100.0,100.0,lebendig
8.83,77.5,55.0,100.0,100.0,100.0,lebendig
9.0,77.1,54.2,100.0,100.0,100.0,lebendig
9.17,76.7,53.3,100.0,100.0,100.0,lebendig
9.33,76.2,52.5,100.0,100.0,100.0,lebendig
9.5,75.8,51.7,100.0,100.0,100.0,lebendig
9.67,75.4,50.8,100.0,100.0,100.0,lebendig
9.83,75.0,50.0,100.0,100.0,100.0,lebendig
10.0,74.6,49.2,100.0,100.0,100.0,lebendig
10.17,74.2,48.3,100.0,100.0,100.0,lebendig
10.33,73.7,47.5,100.0,100.0,100.0,lebendig
10.5,73.3,46.7,100.0,100.0,100.0,lebendig
10.67,72.9,45.8,100.0,100.0,100.0,lebendig
10.83,72.5,45.0,100.0,100.0,100.0,lebendig
11.0,72.1,44.2,100.0,100.0,100.0,lebendig
11.17,71.7,43.3,100.0,100.0,100.0,lebendig
11.33,71.2,42.5,100.0,100.0,100.0,lebendig
11.5,70.8,41.7,100.0,100.0,100.0,lebendig
11.67,70.4,40.8,100.0,100.0,100.0,lebendig
11.83,70.0,40.0,100.0,100.0,100.0,lebendig
12.0,69.6,39.2,100.0,100.0,100.0,lebendig
12.17,69.2,38.3,100.0,100.0,100.0,lebendig
12.33,68.7,37.5,100.0,100.0,100.0,lebendig
12.5,68.3,36.7,100.0,100.0,100.0,lebendig
12.67,67.9,35.8,100.0,100.0,100.0,lebendig
12.83,67.5,35.0,100.0,100.0,100.0,lebendig
13.0,67.1,34.2,99.3,99.5,100.0,lebendig
13.17,66.7,33.3,98.7,99.0,100.0,lebendig
13.33,66.2,32.5,98.0,98.5,100.0,lebendig
13.5,65.8,31.7,97.3,98.0,100.0,lebendig
13.67,65.4,30.8,96.7,97.5,100.0,lebendig
13.83,65.0,30.0,96.0,97.0,100.0,lebendig
14.0,64.6,29.2,95.3,96.5,100.0,lebendig
14.17,64.2,28.3,94.7,96.0,100.0,lebendig
14.33,63.7,27.5,94.0,95.5,100.0,lebendig
14.5,63.3,26.7,93.3,95.0,100.0,lebendig
14.67,62.9,25.8,92.7,94.5,100.0,lebendig
14.83,62.5,25.0,92.0,94.0,100.0,lebendig
15.0,62.1,24.2,91.3,93.5,100.0,lebendig
15.17,61.7,23.3,90.7,93.0,100.0,lebendig
15.33,61.2,22.5,90.0,92.5,100.0,lebendig
15.5,60.8,21.7,89.3,92.0,100.0,lebendig
15.67,60.4,20.8,88.7,91.5,100.0,lebendig
15.83,60.0,20.0,88.0,91.0,100.0,lebendig
16.0,59.6,19.2,87.3,90.5,100.0,hungrig/durstig
16.17,59.2,18.3,86.7,90.0,100.0,hungrig/durstig
16.33,58.7,17.5,86.0,89.5,100.0,hungrig/durstig
16.5,58.3,16.7,85.3,89.0,100.0,hungrig/durstig
16.67,57.9,15.8,84.7,88.5,100.0,hungrig/durstig
16.83,57.5,15.0,84.0,88.0,100.0,hungrig/durstig
17.0,57.1,14.2,83.3,87.5,100.0,hungrig/durstig
17.17,56.7,13.3,82.7,87.0,100.0,hungrig/durstig
17.33,56.2,12.5,82.0,86.5,100.0,hungrig/durstig
17.5,55.8,11.7,81.3,86.0,100.0,hungrig/durstig
17.67,55.4,10.8,80.7,85.5,100.0,hungrig/durstig
17.83,55.0,10.0,80.0,85.0,100.0,hungrig/durstig
18.0,54.6,9.2,79.3,84.5,100.0,hungrig/durstig
18.17,54.2,8.3,78.7,84.0,100.0,hungrig/durstig
18.33,53.7,7.5,78.0,83.5,100.0,hungrig/durstig
18.5,53.3,6.7,77.3,83.0,100.0,hungrig/durstig
18.67,52.9,5.8,76.7,82.5,100.0,hungrig/durstig
18.83,52.5,5.0,76.0,82.0,100.0,hungrig/durstig
19.0,52.1,4.2,75.3,81.5,100.0,hungrig/durstig
19.17,51.7,3.3,74.7,81.0,100.0,hungrig/durstig
19.33,51.2,2.5,74.0,80.5,100.0,hungrig/durstig
19.5,50.8,1.7,73.3,80.0,100.0,hungrig/durstig
19.67,50.4,0.8,72.7,79.5,100.0,hungrig/durstig
19.83,50.0,0.0,72.0,79.0,100.0,hungrig/durstig
20.0,49.6,0.0,71.3,78.5,100.0,hungrig/durstig
20.17,49.2,0.0,70.7,78.0,100.0,hungrig/durstig
20.33,48.7,0.0,70.0,77.5,100.0,hungrig/durstig
20.5,48.3,0.0,69.3,77.0,100.0,hungrig/durstig
20.67,47.9,0.0,68.7,76.5,100.0,hungrig/durstig
20.83,47.5,0.0,68.0,76.0,100.0,hungrig/durstig
21.0,47.1,0.0,67.3,75.5,100.0,hungrig/durstig
21.17,46.7,0.0,66.7,75.0,100.0,hungrig/durstig
21.33,46.2,0.0,66.0,74.5,100.0,hungrig/durstig
21.5,45.8,0.0,65.3,74.0,100.0,hungrig/durstig
21.67,45.4,0.0,64.7,73.5,100.0,hungrig/durstig
21.83,45.0,0.0,64.0,73.0,100.0,hungrig/durstig
22.0,44.6,0.0,63.3,72.5,100.0,hungrig/durstig
22.17,44.2,0.0,62.7,72.0,100.0,hungrig/durstig
22.33,43.7,0.0,62.0,71.5,100.0,hungrig/durstig
22.5,43.3,0.0,61.3,71.0,100.0,hungrig/durstig
22.67,42.9,0.0,60.7,70.5,100.0,hungrig/durstig
22.83,42.5,0.0,60.0,70.0,100.0,hungrig/durstig
23.0,42.1,0.0,59.3,69.5,100.0,hungrig/durstig
23.17,41.7,0.0,58.7,69.0,100.0,hungrig/durstig
23.33,41.2,0.0,58.0,68.5,100.0,hungrig/durstig
23.5,40.8,0.0,57.3,68.0,100.0,hungrig/durstig
23.67,40.4,0.0,56.7,67.5,100.0,hungrig/durstig
23.83,40.0,0.0,56.0,67.0,100.0,hungrig/durstig
24.0,39.6,0.0,55.3,66.5,100.0,hungrig/durstig
