h,hunger,durst,energie,gesundheit,stimmung,aktionen,status
0.0,88.0,82.0,100.0,100.0,100.0,—,stabil
1.0,76.0,64.0,100.0,100.0,100.0,—,stabil
2.0,64.0,46.0,100.0,100.0,100.0,—,stabil
3.0,52.0,28.0,100.0,100.0,94.0,—,BEOBACHTEN
4.0,40.0,10.0,100.0,100.0,88.0,—,WARNUNG
5.0,28.0,0.0,92.0,100.0,82.0,—,WARNUNG
6.0,16.0,0.0,84.0,100.0,76.0,—,WARNUNG
7.0,4.0,0.0,76.0,100.0,70.0,—,WARNUNG
8.0,0.0,0.0,68.0,100.0,64.0,—,WARNUNG
9.0,0.0,0.0,60.0,100.0,58.0,—,WARNUNG
10.0,0.0,0.0,52.0,100.0,52.0,—,WARNUNG
11.0,0.0,0.0,44.0,100.0,46.0,—,WARNUNG
12.0,0.0,0.0,36.0,100.0,40.0,—,WARNUNG
13.0,0.0,0.0,28.0,96.0,34.0,—,WARNUNG
14.0,0.0,0.0,20.0,92.0,28.0,—,WARNUNG
15.0,0.0,0.0,12.0,88.0,22.0,—,WARNUNG
16.0,0.0,0.0,4.0,84.0,16.0,—,WARNUNG
17.0,0.0,0.0,0.0,80.0,10.0,—,WARNUNG
18.0,0.0,0.0,0.0,76.0,4.0,—,WARNUNG
19.0,0.0,0.0,0.0,72.0,0.0,—,WARNUNG
20.0,0.0,0.0,0.0,68.0,0.0,—,WARNUNG
21.0,0.0,0.0,0.0,64.0,0.0,—,WARNUNG
22.0,0.0,0.0,0.0,60.0,0.0,—,WARNUNG
23.0,0.0,0.0,0.0,56.0,0.0,—,WARNUNG
24.0,0.0,0.0,0.0,52.0,0.0,—,WARNUNG
25.0,0.0,0.0,0.0,48.0,0.0,—,WARNUNG
26.0,0.0,0.0,0.0,44.0,0.0,—,WARNUNG
27.0,0.0,0.0,0.0,40.0,0.0,—,WARNUNG
28.0,0.0,0.0,0.0,36.0,0.0,—,WARNUNG
29.0,0.0,0.0,0.0,32.0,0.0,—,WARNUNG
30.0,0.0,0.0,0.0,28.0,0.0,—,WARNUNG
31.0,0.0,0.0,0.0,24.0,0.0,—,WARNUNG
32.0,0.0,0.0,0.0,20.0,0.0,—,WARNUNG
33.0,0.0,0.0,0.0,16.0,0.0,—,WARNUNG
34.0,0.0,0.0,0.0,12.0,0.0,—,WARNUNG
35.0,0.0,0.0,0.0,8.0,0.0,—,KRITISCH
36.0,0.0,0.0,0.0,4.0,0.0,—,KRITISCH
37.0,0.0,0.0,0.0,0.0,0.0,—,TOT
38.0,0.0,0.0,0.0,0.0,0.0,—,TOT
39.0,0.0,0.0,0.0,0.0,0.0,—,TOT
40.0,0.0,0.0,0.0,0.0,0.0,—,TOT
41.0,0.0,0.0,0.0,0.0,0.0,—,TOT
42.0,0.0,0.0,0.0,0.0,0.0,—,TOT
43.0,0.0,0.0,0.0,0.0,0.0,—,TOT
44.0,0.0,0.0,0.0,0.0,0.0,—,TOT
45.0,0.0,0.0,0.0,0.0,0.0,—,TOT
46.0,0.0,0.0,0.0,0.0,0.0,—,TOT
47.0,0.0,0.0,0.0,0.0,0.0,—,TOT
48.0,22.0,22.0,0.0,0.0,0.0,"W,F",TOT
49.0,32.0,26.0,0.0,0.0,0.0,"W,F",TOT
50.0,42.0,30.0,0.0,0.0,0.0,"W,F",TOT
51.0,52.0,34.0,0.0,0.0,0.0,"W,F",TOT
52.0,62.0,38.0,0.0,0.0,0.0,"W,F",TOT
53.0,72.0,42.0,0.0,0.0,0.0,"W,F",TOT
54.0,82.0,46.0,0.0,0.0,0.0,"W,F",TOT
55.0,92.0,50.0,0.0,0.0,0.0,"W,F",TOT
56.0,100.0,54.0,0.0,0.0,0.0,"W,F",TOT
57.0,100.0,58.0,0.0,0.0,0.0,"W,F",TOT
58.0,100.0,62.0,0.0,0.0,0.0,"W,F",TOT
59.0,100.0,66.0,0.0,0.0,0.0,"W,F",TOT
60.0,100.0,70.0,0.0,0.0,0.0,"W,F",TOT
61.0,100.0,74.0,0.0,0.0,0.0,"W,F",TOT
62.0,100.0,78.0,0.0,0.0,0.0,"W,F",TOT
63.0,100.0,82.0,0.0,0.0,0.0,"W,F",TOT
64.0,100.0,86.0,0.0,0.0,0.0,"W,F",TOT
65.0,100.0,90.0,0.0,0.0,0.0,"W,F",TOT
66.0,100.0,94.0,0.0,0.0,0.0,"W,F",TOT
67.0,100.0,98.0,0.0,0.0,0.0,"W,F",TOT
68.0,100.0,100.0,0.0,0.0,0.0,"W,F",TOT
69.0,100.0,100.0,0.0,0.0,0.0,"W,F",TOT
70.0,100.0,100.0,0.0,0.0,0.0,"W,F",TOT
71.0,100.0,100.0,0.0,0.0,0.0,"W,F",TOT
